"","FECHA","TIENDA","CODPROD","DESCRIPCION","MEDIDA","UNI","VENTA","PRECIOUNITARIO","ACABADO","dia"
"122",2018-10-03,"Z12 TIENDA ZONA 12","02429","TUBO 1-3/4 x 1-3/4  C/1 PEST","21",1,223.21,223.21,"AN","mié\."
"123",2018-10-03,"Z12 TIENDA ZONA 12","02438","TUBO VITRINA 1","21",2,123.21,61.605,"AN","mié\."
"124",2018-10-03,"Z12 TIENDA ZONA 12","02452","TUBO 1-3/4 X 1-3/4 X 0.093","21",1,272.32,272.32,"AN","mié\."
"125",2018-10-03,"Z12 TIENDA ZONA 12","033602","CERCO PERIMETRAL 3 RIELES S/3600","20",2,587.68,293.84,"BR","mié\."
"126",2018-10-03,"Z12 TIENDA ZONA 12","033605","HOJA PERIMETRAL S/3600","20",2,261.43,130.715,"BR","mié\."
"127",2018-10-03,"Z12 TIENDA ZONA 12","03367","RIEL SUPERIOR VC-2000","21",18,2800.71,155.595,"BR","mié\."
"128",2018-10-03,"Z12 TIENDA ZONA 12","03368","ADAPTADOR 2 RIEL VC-2000","19",1,45.54,45.54,"BR","mié\."
"129",2018-10-03,"Z12 TIENDA ZONA 12","03007","ZARANDA LIVIANA","21",1,28.75,28.75,"BR","mié\."
"130",2018-10-03,"Z12 TIENDA ZONA 12","03008","ZARANDA ESTANDAR","21",3,114.91,38.3033333333333,"BR","mié\."
"131",2018-10-03,"Z12 TIENDA ZONA 12","03055","UNION PLANA NT","21",10,451.79,45.179,"BR","mié\."
"132",2018-10-03,"Z12 TIENDA ZONA 12","03189","FIJO CON VENA LIVIANO","21",15,1220.09,81.3393333333333,"BR","mié\."
"133",2018-10-03,"Z12 TIENDA ZONA 12","03191","FIJO SIN VENA LIVIANO","21",10,664.29,66.429,"BR","mié\."
"134",2018-10-03,"Z12 TIENDA ZONA 12","03195","BATIENTE LIVIANO NT","21",25,1091.52,43.6608,"BR","mié\."
"135",2018-10-03,"Z12 TIENDA ZONA 12","03204","BATIENTE PROYECT. 3831 ML REDONDO","21",18,803.57,44.6427777777778,"BR","mié\."
"136",2018-10-03,"Z12 TIENDA ZONA 12","03206","MARCO FIJO PROYECT. 3831 ML","21",18,1476,82,"BR","mié\."
"137",2018-10-03,"Z12 TIENDA ZONA 12","03207","MARCO VENTILA PROYECT. 3831 ML","21",4,476.68,119.17,"BR","mié\."
"138",2018-10-03,"Z12 TIENDA ZONA 12","03376","JAMBA HOJA VC 3000","21",3,440.36,146.786666666667,"BR","mié\."
"139",2018-10-03,"Z12 TIENDA ZONA 12","03377","RS/CONTRAMARCO VC 3000","21",4,642.86,160.715,"BR","mié\."
"140",2018-10-03,"Z12 TIENDA ZONA 12","03387","JAMBA INTERMEDIA VC 3000","21",2,361.43,180.715,"BR","mié\."
"141",2018-10-03,"Z12 TIENDA ZONA 12","03389","SILLAR HOJA VC-3000","21",4,582.14,145.535,"BR","mié\."
"142",2018-10-03,"Z12 TIENDA ZONA 12","034610","ADAPTADOR MOSQUITERO S/4600 BR","20",1,40.27,40.27,"BR","mié\."
"143",2018-10-03,"Z12 TIENDA ZONA 12","041407","CERCO LISO DE PUERTA S/1400","20",44,9153.57,208.035681818182,"NE","mié\."
"144",2018-10-03,"Z12 TIENDA ZONA 12","041427","ESQUINERO REDONDO S/1400","20",6,1398.75,233.125,"NE","mié\."
"145",2018-10-03,"Z12 TIENDA ZONA 12","041429","JUNQUILLO REDONDO MEDIANO BATIENTE","20",8,321.25,40.15625,"NE","mié\."
"146",2018-10-03,"Z12 TIENDA ZONA 12","041405","PILASTRA LISA PUERTA","20",16,3732.86,233.30375,"NE","mié\."
"147",2018-10-03,"Z12 TIENDA ZONA 12","04007","ZARANDA LIVIANA","21",2,60.18,30.09,"NE","mié\."
"148",2018-10-03,"Z12 TIENDA ZONA 12","041401","HOJA LISA VENTANA","20",4,748.21,187.0525,"NE","mié\."
"149",2018-10-03,"Z12 TIENDA ZONA 12","041402","CERCO LISO VENTANA","20",4,655.36,163.84,"NE","mié\."
"150",2018-10-03,"Z12 TIENDA ZONA 12","041403","HOJA VENTANA CURVA","20",16,3732.86,233.30375,"NE","mié\."
"151",2018-10-03,"Z12 TIENDA ZONA 12","041433","JUNQUILLO REDONDO ANCHO","20",80,4235.71,52.946375,"NE","mié\."
"152",2018-10-03,"Z12 TIENDA ZONA 12","04205","BATIENTE PROY. 3831 ML TRIANGULAR","21",1,46.43,46.43,"NE","mié\."
"153",2018-10-03,"Z12 TIENDA ZONA 12","04206","MARCO FIJO PROY. 3831 ML","21",1,86.52,86.52,"NE","mié\."
"154",2018-10-03,"Z12 TIENDA ZONA 12","04367","RIEL SUPERIOR VC-2000","21",8,1192.86,149.1075,"NE","mié\."
"155",2018-10-03,"Z12 TIENDA ZONA 12","04394","RS/JAMBA MARCO VC-1500","21",3,447.32,149.106666666667,"NE","mié\."
"156",2018-10-03,"Z12 TIENDA ZONA 12","04400","TUBO 1 x 1 x 0.045","21",5,403.57,80.714,"NE","mié\."
